det1_tracker_vtxSupp_3  |                root  |        det1_tracker_vtxSupp_3  |                                    0*cm 0*cm 5*cm  |                       0*deg 0*rad 0*deg  | f9e7bb   |                Tube  |                         6.82*cm 6.87*cm 18*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                         id manual 61300 
         Vertex_4_11  |                root  |                   Vertex_4_11  |      -8.5230212168924*cm -3.1020975704194*cm 5*cm  |       0*deg 0*rad -103.005729746936*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50411 
         Vertex_4_12  |                root  |                   Vertex_4_12  |    -6.94804200762528*cm -5.83006108546681*cm 5*cm  |        0*deg 0*rad -123.00630272163*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50412 
         Vertex_4_13  |                root  |                   Vertex_4_13  |    -4.53502779137279*cm -7.85483436690274*cm 5*cm  |       0*deg 0*rad -143.006875696323*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50413 
         Vertex_4_14  |                root  |                   Vertex_4_14  |    -1.57502320824413*cm -8.93220028288061*cm 5*cm  |       0*deg 0*rad -163.007448671017*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50414 
         Vertex_4_15  |                root  |                   Vertex_4_15  |      1.57495210100772*cm -8.9322128209941*cm 5*cm  |       0*deg 0*rad -183.008021645711*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50415 
         Vertex_4_16  |                root  |                   Vertex_4_16  |     4.53496526070418*cm -7.85487046896423*cm 5*cm  |       0*deg 0*rad -203.008594620404*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50416 
         Vertex_4_17  |                root  |                   Vertex_4_17  |     6.94799559563335*cm -5.83011639704213*cm 5*cm  |       0*deg 0*rad -223.009167595098*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50417 
         Vertex_4_18  |                root  |                   Vertex_4_18  |     8.52299652153898*cm -3.10216542012743*cm 5*cm  |       0*deg 0*rad -243.009740569791*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50418 
          Vertex_5_1  |                root  |                    Vertex_5_1  |                                14.07*cm 0*cm 5*cm  |                      0*deg 0*rad 97*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50501 
          Vertex_5_2  |                root  |                    Vertex_5_2  |       13.221476593309*cm 4.81221951832844*cm 5*cm  |        0*deg 0*rad 76.9994270253064*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50502 
          Vertex_5_3  |                root  |                    Vertex_5_3  |      10.7782506478207*cm 9.04401531250098*cm 5*cm  |        0*deg 0*rad 56.9988540506128*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50503 
          Vertex_5_4  |                root  |                    Vertex_5_4  |       7.0350107779745*cm 12.1849712085742*cm 5*cm  |        0*deg 0*rad 36.9982810759192*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50504 
